2026-01-26 06:59:31 | DEBUG    | yfinance             |    Entering _make_request()
2026-01-26 06:59:31 | DEBUG    | yfinance             | url=https://query1.finance.yahoo.com/v7/finance/quote?
2026-01-26 06:59:31 | DEBUG    | yfinance             | params={'symbols': '6088027.SZ', 'formatted': 'false'}
2026-01-26 06:59:31 | DEBUG    | yfinance             |     Entering _get_cookie_and_crumb()
2026-01-26 06:59:31 | DEBUG    | yfinance             | cookie_mode = 'basic'
2026-01-26 06:59:31 | DEBUG    | yfinance             |      Entering _get_cookie_and_crumb_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             |       Entering _get_cookie_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             | reusing cookie
2026-01-26 06:59:31 | DEBUG    | yfinance             |       Exiting _get_cookie_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             |       Entering _get_crumb_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             | reusing crumb
2026-01-26 06:59:31 | DEBUG    | yfinance             |       Exiting _get_crumb_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             |      Exiting _get_cookie_and_crumb_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             |     Exiting _get_cookie_and_crumb()
2026-01-26 06:59:31 | INFO     | src.core.pipeline    | [AAPL] 搜索服务不可用，跳过情报搜索
2026-01-26 06:59:31 | DEBUG    | src.analyzer         | [LLM] 请求前等待 2.0 秒...
2026-01-26 06:59:31 | DEBUG    | yfinance             | response code=200
2026-01-26 06:59:31 | DEBUG    | yfinance             |    Exiting _make_request()
2026-01-26 06:59:31 | DEBUG    | yfinance             |   Exiting get()
2026-01-26 06:59:31 | DEBUG    | yfinance             |   Entering get()
2026-01-26 06:59:31 | DEBUG    | yfinance             |    Entering _make_request()
2026-01-26 06:59:31 | DEBUG    | yfinance             | url=https://query1.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/6088027.SZ?symbol=6088027.SZ&type=trailingPegRatio&period1=1753660800&period2=1769472000
2026-01-26 06:59:31 | DEBUG    | yfinance             | params=None
2026-01-26 06:59:31 | DEBUG    | yfinance             |     Entering _get_cookie_and_crumb()
